"","ws","ys","inds"
"1",2.04843837238039,2.11753463270781,1
"2",2.71317029581784,2.11753463270781,1
"3",4.9741964294925,2.11753463270781,1
"4",3.14031828938608,2.11753463270781,1
"5",1.35811367565305,5.83575270278451,2
"6",6.11225595012609,5.83575270278451,2
"7",4.17784520306467,5.83575270278451,2
"8",2.09848401206999,5.83575270278451,2
"9",3.44437190612706,4.65878487431541,3
"10",3.8125291574687,4.65878487431541,3
"11",4.46492072570049,4.65878487431541,3
"12",5.00113833594455,4.65878487431541,3
"13",7.45881459175926,5.32433253805013,4
"14",3.5672489985853,5.32433253805013,4
"15",4.21223807156807,5.32433253805013,4
"16",2.93600713420618,5.32433253805013,4
"17",2.22764793348019,1.69956575287594,5
"18",4.4985734296413,1.69956575287594,5
"19",0.518159642859948,1.69956575287594,5
"20",2.13882005772846,1.69956575287594,5
"21",4.04173549683046,4.81310623628838,6
"22",3.90986581509826,4.81310623628838,6
"23",6.18502752983163,4.81310623628838,6
"24",5.33399095206793,4.81310623628838,6
"25",7.28706657808023,2.9073361726713,7
"26",5.16155379661824,2.9073361726713,7
"27",12.5531535956203,2.9073361726713,7
"28",5.05075631115481,2.9073361726713,7
"29",4.14188540210789,2.7455663456135,8
"30",2.5345184075528,2.7455663456135,8
"31",4.729929900988,2.7455663456135,8
"32",3.02510056605565,2.7455663456135,8
"33",3.98570648760336,2.55217254554059,9
"34",5.22459455553968,2.55217254554059,9
"35",3.51432807090552,2.55217254554059,9
"36",4.61242158266723,2.55217254554059,9
"37",2.78065966684546,2.26654411278106,10
"38",1.68959143595527,2.26654411278106,10
"39",2.55224564443454,2.26654411278106,10
"40",4.858689768153,2.26654411278106,10
"41",2.8941320557674,4.28659876859981,11
"42",4.68081129413294,4.28659876859981,11
"43",2.13223529070381,4.28659876859981,11
"44",2.28014164679948,4.28659876859981,11
"45",2.66552144889615,3.27894108848791,12
"46",2.62064179277948,3.27894108848791,12
"47",3.4525222728636,3.27894108848791,12
"48",0.241218676923246,3.27894108848791,12
"49",5.2224015827161,4.3896277569293,13
"50",5.61404002238842,4.3896277569293,13
"51",3.59159213552149,4.3896277569293,13
"52",4.90130973680592,4.3896277569293,13
"53",2.66168218094087,3.2131932617813,14
"54",2.86709666766358,3.2131932617813,14
"55",3.9848103454979,3.2131932617813,14
"56",3.21543924805288,3.2131932617813,14
"57",6.32959951343979,2.84314756424888,15
"58",4.63182047815528,2.84314756424888,15
"59",4.71032566693893,2.84314756424888,15
"60",6.17646126852502,2.84314756424888,15
"61",3.25582069818548,2.41208215262059,16
"62",2.59166090977891,2.41208215262059,16
"63",2.69843332850822,2.41208215262059,16
"64",5.11306838528663,2.41208215262059,16
"65",3.70245516976288,1.95473066147875,17
"66",5.42623239005191,1.95473066147875,17
"67",2.60718549875401,1.95473066147875,17
"68",3.44697620376932,1.95473066147875,17
"69",5.57945727036799,10.8426770843352,18
"70",6.84309575022036,10.8426770843352,18
"71",12.176061132941,10.8426770843352,18
"72",16.5053381191108,10.8426770843352,18
"73",4.79694086878527,3.18911808595444,19
"74",3.10043792336762,3.18911808595444,19
"75",2.51798877759717,3.18911808595444,19
"76",2.06650857957762,3.18911808595444,19
"77",4.86930744838714,3.93017583047507,20
"78",2.77876665399917,3.93017583047507,20
"79",4.59563812849315,3.93017583047507,20
"80",4.38618446197159,3.93017583047507,20
"81",3.2394102787377,2.87856849358862,21
"82",6.47108913588435,2.87856849358862,21
"83",7.96506382320106,2.87856849358862,21
"84",6.51234942655832,2.87856849358862,21
"85",1.33079169565503,2.5726255518786,22
"86",2.61752799070081,2.5726255518786,22
"87",1.89040187794335,2.5726255518786,22
"88",1.31048892485536,2.5726255518786,22
"89",5.5439913049264,3.18556795607928,23
"90",3.50636944782629,3.18556795607928,23
"91",3.33871412695966,3.18556795607928,23
"92",5.46087326749833,3.18556795607928,23
"93",2.34481254205967,0.710842652928549,24
"94",0.923177991433963,0.710842652928549,24
"95",1.44507096651246,0.710842652928549,24
"96",3.1233079120839,0.710842652928549,24
"97",1.78902764897598,2.10779745675389,25
"98",1.81360947186029,2.10779745675389,25
"99",3.44157214846545,2.10779745675389,25
"100",2.77581612006789,2.10779745675389,25
"101",3.15881047353433,1.92964446874722,26
"102",2.05753214889994,1.92964446874722,26
"103",2.79633960648121,1.92964446874722,26
"104",4.28109110966394,1.92964446874722,26
"105",0.804230422251678,1.66709134640905,27
"106",1.23329188796166,1.66709134640905,27
"107",0.923522315646198,1.66709134640905,27
"108",1.79108174968068,1.66709134640905,27
"109",6.5766090687435,2.78573074157831,28
"110",2.60620662594322,2.78573074157831,28
"111",2.96089355225382,2.78573074157831,28
"112",2.27089870775723,2.78573074157831,28
"113",6.54140885481348,4.55177735882092,29
"114",3.08502917298048,4.55177735882092,29
"115",6.46402108986735,4.55177735882092,29
"116",3.52700432338133,4.55177735882092,29
"117",4.10530417423683,5.1740071756781,30
"118",2.82967633189174,5.1740071756781,30
"119",3.50334102568094,5.1740071756781,30
"120",5.1281819607495,5.1740071756781,30
"121",2.3880301538879,3.64567281356345,31
"122",4.23167270608168,3.64567281356345,31
"123",2.59172633021936,3.64567281356345,31
"124",2.86387834104256,3.64567281356345,31
"125",4.95119439535249,2.53285251546388,32
"126",4.1948890909816,2.53285251546388,32
"127",2.45053188531955,2.53285251546388,32
"128",2.80774436810913,2.53285251546388,32
"129",4.29927119110896,3.24795463470974,33
"130",3.01255679314399,3.24795463470974,33
"131",3.00832147663397,3.24795463470974,33
"132",3.76594615991138,3.24795463470974,33
"133",2.44772078550952,1.66478470127824,34
"134",6.28776182430425,1.66478470127824,34
"135",2.16110243063868,1.66478470127824,34
"136",2.9589836432635,1.66478470127824,34
"137",4.42723293555148,1.93630979042657,35
"138",5.0275611439326,1.93630979042657,35
"139",6.32881994971415,1.93630979042657,35
