"","Status","w","y","x"
"1","control",0.398841743806826,1.93153161451137,0.523946143493997
"2","control",-0.593905527281333,1.13181006629609,-0.51249938844474
"3","control",-0.493668401170571,0.83411103958132,-0.454472796285831
"4","control",1.15850507199955,2.11974571013998,0.587691407581442
"5","control",0.265168452730694,2.07409643392316,0.583792650277784
"6","control",-0.119803481801601,1.51662339661693,0.104792551686272
"7","control",0.560467802888503,1.82793513432376,-0.0810091660997271
"8","control",0.239706101532862,0.724901866403889,0.71886853786203
"9","control",-0.361640376187478,2.03810354403913,0.568992629554821
"10","control",-1.07446110098265,-0.0586409199064469,-1.50050374433458
"11","control",-2.44783288225977,-2.43387200695301,-2.34937840580288
"12","control",-1.2896668503659,1.7626860625693,-0.192235842953808
"13","control",0.92590110193482,1.6385146775518,1.19938471474954
"14","control",1.00394875957333,2.08763199065726,0.142168509563246
"15","control",0.686956045058851,1.7734784451923,0.631377418822242
"16","control",-0.0799374741012864,1.79167113877472,0.47736461074456
"17","control",-0.547441366125705,1.03945120622328,0.299946848176295
"18","control",-0.801411778881763,-0.602012550036205,-1.05031862404354
"19","control",0.61860895273537,1.56266840844703,0.717115207226456
"20","control",-0.857778615260072,1.20341849081337,-0.265286197591445
"21","control",0.187782799297837,2.07245959228754,0.102990705904835
"22","control",0.29772208158705,1.5829122016814,-0.204610266346542
"23","control",1.18692523121497,1.60931908047374,1.09687848476088
"24","control",0.62421293494916,1.2473355653835,0.378261706166012
"25","control",0.0734341415960202,1.22604972254387,0.401397198964368
"26","control",-1.57832372784169,-1.22624463185988,-2.23021672469802
"27","control",-0.634322405603136,-0.139012156444405,-1.25112639291056
"28","control",0.0653083157852685,0.98077587081329,0.143942650989936
"29","control",-0.377825156421182,0.983898133937179,-0.441797863569535
"30","control",-0.285154165602236,1.32347737672255,0.308661084295267
"31","control",-2.73936761673898,-2.08787489426541,-2.19291630859209
"32","control",-0.73749271468975,0.376297536091172,-1.07541250049919
"33","control",-0.459664944954551,0.480778228298139,-0.381742769790003
"34","control",-0.561807842348504,0.448953653833645,-0.759115405586846
"35","control",-0.00811149284682422,1.22118051012823,-0.479082502803971
